open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,market_cap
2020-12-24,23232.39,23794.43,22703.42,23729.2,69013.834252,2020-12-24 23:59:59.999,1602394244.0767715,1421257,35789.111319,831484211.6986718,0,473411777520.0
2020-12-25,23728.99,24789.86,23433.6,24712.47,79519.943569,2020-12-25 23:59:59.999,1919766316.6677368,1504426,41219.088164,995215944.572568,0,493028603982.0
2020-12-26,24712.47,26867.03,24500.0,26493.39,97806.513386,2020-12-26 23:59:59.999,2496533065.175581,1735574,49839.034072,1272279529.8870606,0,528559026534.0
2020-12-27,26493.4,28422.0,25700.0,26281.66,148455.586214,2020-12-27 23:59:59.999,4028928683.882025,2438493,72649.340484,1972635486.1835065,0,524334885996.0
2020-12-28,26281.54,27500.0,26101.0,27079.41,79721.742496,2020-12-28 23:59:59.999,2151806808.5743523,1508204,37895.345621,1023061029.3655896,0,540250477146.0
2020-12-29,27079.42,27410.0,25880.0,27385.0,69411.592606,2020-12-29 23:59:59.999,1851617219.7682345,1605166,34276.922601,914954320.8347603,0,546347181000.0
2020-12-30,27385.0,28996.0,27320.0,28875.54,95356.057826,2020-12-30 23:59:59.999,2683953237.460271,1916095,48057.906366,1352877359.6514735,0,576084348324.0
2020-12-31,28875.55,29300.0,27850.0,28923.63,75508.505152,2020-12-31 23:59:59.999,2173600125.4200735,1552793,36431.62208,1049389143.5562063,0,577043772678.0
2021-01-01,28923.63,29600.0,28624.57,29331.69,54182.925011,2021-01-01 23:59:59.999,1582526989.1618726,1314910,27455.801725,802247744.5451041,0,585184814514.0
2021-01-02,29331.7,33300.0,28946.53,32178.33,129993.873362,2021-01-02 23:59:59.999,4073842163.6715407,2245922,67446.305246,2110334723.8871455,0,641976990498.0
2021-01-03,32176.45,34778.11,31962.99,33000.05,120957.56675,2021-01-03 23:59:59.999,4057598425.492016,2369698,59750.332871,2004428433.9318464,0,658370797530.0
2021-01-04,33000.05,33600.0,28130.0,31988.71,140899.88569,2021-01-04 23:59:59.999,4429010349.695345,2642408,69088.46923,2173435409.016988,0,638193957726.0
2021-01-05,31989.75,34360.0,29900.0,33949.53,116049.997038,2021-01-05 23:59:59.999,3743617144.6469154,2526851,59691.754755,1927195093.6415496,0,677313493218.0
2021-01-06,33949.53,36939.21,33288.0,36769.36,127139.20131,2021-01-06 23:59:59.999,4431954248.519614,2591783,63052.914652,2199632470.221549,0,733570793616.0
2021-01-07,36769.36,40365.0,36300.0,39432.28,132825.700437,2021-01-07 23:59:59.999,5062569943.383372,2814686,65055.107136,2482583239.856497,0,786697645368.0
2021-01-08,39432.48,41950.0,36500.0,40582.81,139789.957499,2021-01-08 23:59:59.999,5568443208.731365,2925632,67300.155216,2684975445.9789047,0,809651409186.0
2021-01-09,40586.96,41380.0,38720.0,40088.22,75785.979675,2021-01-09 23:59:59.999,3054779029.161777,1998156,37007.321909,1491990705.551699,0,799784041932.0
2021-01-10,40088.22,41350.0,35111.11,38150.02,118209.544503,2021-01-10 23:59:59.999,4604034729.507071,2628050,55451.344673,2160976896.8280277,0,761115789011.9999
2021-01-11,38150.02,38264.74,30420.0,35404.47,251156.138287,2021-01-11 23:59:59.999,8497730017.898505,4472957,123241.588782,4171891522.0567856,0,706340419182.0
2021-01-12,35410.37,36628.0,32531.0,34051.24,133948.151996,2021-01-12 23:59:59.999,4651302423.484116,2674145,65098.310196,2261732478.830052,0,679342668744.0
2021-01-13,34049.15,37850.0,32380.0,37371.38,124477.914938,2021-01-13 23:59:59.999,4322876606.419625,2514289,63981.038306,2222872691.371912,0,745581453828.0
2021-01-14,37371.38,40100.0,36701.23,39144.5,102950.389421,2021-01-14 23:59:59.999,3974826638.1450887,2297466,51264.467092,1979442593.0499997,0,780956261700.0
