open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,market_cap
2021-05-31,35641.26,39476.0,34153.84,35796.31,528299.504937,2021-06-06 23:59:59.999,19486187883.418457,11520844,260787.568217,9623174732.818668,0,714157862286.0
2021-06-07,35796.31,39380.0,31000.0,39020.57,700065.604915,2021-06-13 23:59:59.999,24888579254.611984,13781452,346610.462227,12336051739.569944,0,778483783842.0
2021-06-14,39020.56,41330.0,33336.0,35600.16,610333.962089,2021-06-20 23:59:59.999,23170552929.9574,12585488,295955.590693,11238614009.019213,0,710244552096.0001
2021-06-21,35600.17,35750.0,28805.0,34700.34,907073.707598,2021-06-27 23:59:59.999,29582225083.09103,15069286,445188.23814,14532263176.097523,0,692292603203.9999
2021-06-28,34702.49,36600.0,32699.0,35286.51,464791.763593,2021-07-04 23:59:59.999,16063893736.163572,9503851,227734.572618,7871807130.859945,0,703987046406.0
2021-07-05,35288.13,35293.78,32077.0,34258.99,359766.235404,2021-07-11 23:59:59.999,12142509770.88803,7648112,178798.754323,6033413173.636886,0,683487405894.0
2021-07-12,34259.0,34678.43,31020.0,31778.56,306160.987079,2021-07-18 23:59:59.999,9889122842.331982,7067408,147741.055848,4771519260.898867,0,634001339136.0
2021-07-19,31778.57,35398.0,29278.0,35381.02,383262.217154,2021-07-25 23:59:59.999,12281627047.304798,8161443,190582.264312,6114235359.363288,0,705872577611.9999
2021-07-26,35381.02,42599.0,35205.78,39845.44,568598.509606,2021-08-01 23:59:59.999,22398899801.822147,14294722,284420.137741,11205247089.666573,0,794940435264.0
2021-08-02,39850.27,45310.0,37332.7,43794.37,463107.670711,2021-08-08 23:59:59.999,18969963699.518566,12015266,230451.591454,9445373822.532848,0,873723958122.0
2021-08-09,43794.36,48144.0,42779.0,46973.82,372867.979811,2021-08-15 23:59:59.999,17083554277.88681,12802573,188383.893158,8634469008.93575,0,937155893292.0
2021-08-16,46973.82,49757.04,43927.7,49239.22,357634.462155,2021-08-22 23:59:59.999,16753728276.4288,12498107,180333.299573,8448610167.566947,0,982351982532.0
2021-08-23,49239.22,50500.0,46250.0,48767.83,298905.697042,2021-08-29 23:59:59.999,14485841663.356567,10234705,148185.197294,7184000949.909696,0,972947469198.0
2021-08-30,48767.84,51900.0,46512.0,51756.88,327484.443638,2021-09-05 23:59:59.999,16058724402.757397,9623298,165440.611872,8117693526.79704,0,1032580810128.0
2021-09-06,51756.88,52920.0,42843.05,46025.24,399602.39982,2021-09-12 23:59:59.999,18994715843.656734,12174052,193434.481761,9200501092.964355,0,918231153144.0
2021-09-13,46025.23,48843.2,43370.0,47241.75,289430.44387,2021-09-19 23:59:59.999,13558597825.9357,8186048,141201.01935,6614734237.643137,0,942501257550.0
2021-09-20,47241.75,47347.25,39600.0,43160.9,437174.23273,2021-09-26 23:59:59.999,18788601896.91996,10306745,212146.867313,9120024387.116852,0,861085851540.0
2021-09-27,43160.9,49228.08,40753.88,48200.01,290620.78115,2021-10-03 23:59:59.999,12968253396.578833,8011247,144469.51207,6452909326.517625,0,961619119506.0
2021-10-04,48200.01,56561.31,46891.0,54659.0,424292.258599,2021-10-10 23:59:59.999,22567545317.793793,12811107,211856.684445,11270697948.40903,0,1090479845400.0
2021-10-11,54659.01,62933.0,53879.0,61528.33,362346.263174,2021-10-17 23:59:59.999,21121567502.011086,11568529,183431.750683,10697891224.262558,0,1227527100498.0
2021-10-18,61528.32,67000.0,59510.63,60852.22,336367.00881,2021-10-24 23:59:59.999,21141785986.45504,10979311,167403.56447,10528144211.853245,0,1214038300332.0
2021-10-25,60852.22,63710.63,57820.0,61299.8,314971.8498,2021-10-31 23:59:59.999,19208389552.55153,10574780,154915.87466,9451414390.238705,0,1222967789880.0
2021-11-01,61299.81,64270.0,59405.0,63273.59,253033.72432,2021-11-07 23:59:59.999,15663897405.533567,9556016,126345.60637,7823642239.826968,0,1262346084654.0
2021-11-08,63273.58,69000.0,62278.0,65519.1,294213.112708,2021-11-14 23:59:59.999,19286358161.910706,11207688,145809.022639,9564135489.152817,0,1307145356460.0
2021-11-15,65519.11,66401.82,55600.0,58622.02,340150.61676,2021-11-21 23:59:59.999,20344773160.10561,11100482,163526.9365,9788051753.519651,0,1169544472212.0
2021-11-22,58617.7,59444.0,53256.64,57274.88,315216.31943,2021-11-28 23:59:59.999,17762591467.11147,10734607,155061.63995,8740286935.664598,0,1142668220928.0
2021-11-29,57274.89,59176.99,42000.3,49396.33,390528.912488,2021-12-05 23:59:59.999,20822450911.087795,12286961,185849.53619,9921717578.511951,0,985486421298.0
2021-12-06,49396.32,51936.33,46751.0,50053.9,272083.99753,2021-12-12 23:59:59.999,13393900447.457172,8239356,132585.60064,6527679465.437665,0,998605337340.0
2021-12-13,50053.9,50189.97,45456.0,46681.23,271834.80183,2021-12-19 23:59:59.999,12915658909.98844,8055423,131770.01926,6263559378.81846,0,931318547238.0
2021-12-20,46681.24,51810.0,45558.85,50775.49,209149.42595,2021-12-26 23:59:59.999,10272926890.979765,6960719,104145.18087,5115572930.19298,0,1013001490794.0
2021-12-27,50775.48,52088.0,45678.0,47286.18,217379.6422,2022-01-02 23:59:59.999,10458190881.734585,6863722,106579.78483,5128555640.891941,0,943387662708.0
2022-01-03,47286.18,47570.0,40501.0,41864.62,264331.61587,2022-01-09 23:59:59.999,11564043206.342636,7717954,128417.56962,5617721267.315783,0,835224287772.0
2022-01-10,41864.62,44500.0,39650.0,43071.66,232059.06969,2022-01-16 23:59:59.999,9875457752.625006,6758442,114555.79525,4878281491.665617,0,859305459996.0001
2022-01-17,43071.66,43505.0,34008.0,36244.55,354513.98432,2022-01-23 23:59:59.999,13695568421.726473,9181325,170960.347142,6607067308.59798,0,723100519230.0
2022-01-24,36244.55,38919.98,32917.17,37881.76,353702.626391,2022-01-30 23:59:59.999,12907284440.455256,8716769,179036.244728,6536472796.368902,0,755763841056.0
2022-01-31,37881.75,42656.0,36250.0,42380.87,258946.95322,2022-02-06 23:59:59.999,10064164364.242208,6785864,131038.94536,5096829006.548845,0,845523785022.0
2022-02-07,42380.87,45821.0,41645.85,42053.66,301990.47877,2022-02-13 23:59:59.999,13148234178.649647,8359076,149112.12215,6494915345.303778,0,838995749196.0001
2022-02-14,42053.65,44751.4,38000.0,38386.89,243150.46162,2022-02-20 23:59:59.999,10134957033.789461,6173489,115990.68901,4840833817.67218,0,765841487634.0
2022-02-21,38386.89,40348.45,34322.28,37699.07,412335.93267,2022-02-27 23:59:59.999,15524273633.729553,9817037,205845.16118,7754667841.098922,0,752119065942.0
2022-02-28,37699.08,45400.0,37450.17,38420.81,376417.0783,2022-03-06 23:59:59.999,15676665511.513798,10071554,185768.2371,7740802242.404056,0,766518211986.0
